Year,Month,Variable,US,Canada,Venezuela,Colombia,Argentina,Brazil,Panama_Chile,So_Central_America,Netherlands,Germany,United_Kingdom,Switzerland,Rest_Europe,Caribbean_General,Trinidad_Tobago,Netherlands_Antilles,Rest_world,Italy,Peru,Suriname ,Ecuador,Dominican_Republic,Scandinavia,Japan,Total
2003,2,N,306266,17083,17787,20776,994,846,423,819,36498,1545,2676,462,4737,1162,2628,7503,4525,718,1467,769,482,1819,,15,432000
2003,3,N,314709,19968,15821,4644,511,1247,38,605,26374,1728,1733,356,3853,1268,1879,6335,3578,675,369,642,276,895,,17,407521
2003,4,N,284234,6983,37731,7574,686,839,200,1212,35253,3169,3272,955,5827,1259,6918,11242,4427,983,671,2053,554,1073,,44,417159
2003,5,N,238009,7120,21073,7515,755,674,178,1868,26123,2627,7497,633,4187,917,1676,7051,3542,367,1198,674,243,700,,57,334684
2003,6,N,259675,7198,21296,16504,1336,905,227,3849,36812,2348,8234,241,5981,1166,3444,8146,2145,395,579,490,219,1942,,48,383180
2003,7,N,293344,7568,48543,15063,3516,2391,545,3991,64149,2766,11412,797,6916,4738,14255,21854,3480,696,2735,1176,725,2848,,38,513546
2003,8,N,296230,9140,100231,12317,1686,735,93,3922,29050,4294,12982,469,5278,1589,3268,9309,3032,3657,790,2126,742,2092,,82,503114
2003,9,N,203627,7199,53598,8386,1833,2707,399,2157,28482,2414,10209,975,4808,1311,2024,6275,1976,403,1078,2388,457,1295,,117,344118
2003,10,N,285483,8480,23630,7342,949,602,173,2309,40437,3972,8143,1183,6133,945,2616,11409,1017,375,968,1134,432,1126,,72,408930
2003,11,N,300569,18005,21760,9734,1565,2349,78,3917,38394,5224,3692,769,7749,1278,1599,7813,1345,869,790,1637,398,1543,,89,431166
2003,12,N,287736,23676,54011,21544,1331,4491,57,4101,46737,2081,2009,1081,7032,2667,1680,10754,2247,1885,2440,2155,428,2071,,67,482281
2004,1,A,43507,2787,2980,858,204,547,23,278,2964,227,212,58,683,57,101,1273,169,107,68,62,30,65,,6,57266
2004,2,A,45425,2556,3787,514,113,347,40,292,4032,138,215,40,637,99,112,2380,163,78,66,293,84,137,,12,61560
2004,3,A,46633,2870,1853,595,84,76,17,236,2729,253,249,61,585,59,107,1421,128,63,53,66,40,77,,17,58272
2004,4,A,50335,1526,5678,876,102,281,20,323,3349,317,335,55,784,78,140,2119,187,84,68,244,53,77,,4,67035
2004,5,A,44034,1207,2844,581,174,193,54,381,2934,253,970,128,651,112,80,1861,258,71,73,130,47,107,,58,57201
2004,6,A,41254,913,3541,1374,149,271,43,270,2287,189,856,72,486,49,109,1561,105,71,83,74,40,98,,13,53908
2004,7,A,50217,957,5386,1442,494,594,60,323,4069,138,1078,83,585,142,244,3127,198,103,336,162,40,149,,3,69930
2004,8,A,46182,1153,10845,762,170,470,21,262,3058,255,1461,48,614,63,238,1710,119,319,80,202,77,131,,22,68262
2004,9,A,34881,1098,7934,606,214,593,43,224,2640,291,1040,158,647,63,87,1275,132,59,72,383,62,96,,13,52611
2004,10,A,46813,1176,4142,651,148,396,31,296,3808,421,673,162,1183,165,96,1666,174,54,49,87,167,110,,19,62487
2004,11,A,44838,1677,3121,625,129,420,22,257,3028,361,398,172,1197,74,86,1537,169,93,39,185,39,94,,9,58570
2004,12,A,41014,2640,7107,1764,90,574,42,304,3224,247,323,116,882,83,87,1542,227,217,100,196,44,197,,35,61055
2004,1,N,356812,26528,22914,11406,2567,4162,134,3703,39712,3641,2162,1194,5281,750,3875,7595,1603,1267,1496,533,401,1437,,15,499188
2004,2,N,352886,23065,30907,13414,1222,2166,317,2679,53948,1714,2278,519,6480,1198,1724,13958,1790,706,1112,2566,866,2499,,60,518074
2004,3,N,325584,22829,16115,7193,687,492,114,2215,28593,2862,2264,523,5046,593,2473,6453,1216,550,718,604,431,1662,,34,429251
2004,4,N,352229,12118,36841,10369,803,1279,118,2921,36024,3727,3310,653,6748,693,1834,9971,1649,699,1100,2373,468,1361,,9,487297
2004,5,N,296395,9501,21421,9853,1528,1132,414,4756,32845,2961,11340,1174,5081,790,1001,8876,2170,411,751,1245,537,1913,,258,416353
2004,6,N,284117,7733,20879,16675,1214,1638,281,2910,29096,1764,10383,838,4935,606,1150,8464,1080,785,840,851,328,1676,,42,398285
2004,7,N,355562,8256,35954,19048,4871,4731,524,3146,58540,1958,13771,1026,6395,1198,2238,20822,2102,712,3211,1660,347,2460,,16,548548
2004,8,N,316281,9322,87695,11627,1316,3098,148,3308,36256,3032,18410,385,5955,673,2382,11103,1255,3446,970,2405,734,2624,,90,522515
2004,9,N,241236,8410,52145,9161,1829,3825,305,2392,28973,3373,12893,1430,6387,648,906,6186,1187,365,789,3534,486,1165,,45,387670
2004,10,N,336505,10162,23257,11838,1197,2671,195,3419,40843,5044,7142,1898,11142,1075,1263,9283,1428,373,845,843,820,1870,,75,473188
2004,11,N,319882,15021,18942,10298,1007,2852,185,2640,34556,4155,4171,1633,11221,1015,863,7035,1351,888,439,1560,421,1815,,30,441980
2004,12,N,313236,25712,58141,24704,1058,4158,305,2333,43913,3074,3180,1387,1787,1350,2162,10545,9489,2386,1628,2800,517,3517,,138,517520
2005,1,A,50481,3094,3389,939,233,571,25,284,3357,314,278,125,933,60,75,1123,235,225,46,112,18,83,,40,66040
2005,2,A,48728,2513,2966,358,146,616,35,252,3231,238,209,110,1329,50,57,1213,138,98,68,153,42,73,,17,62640
2005,3,A,56166,2461,4911,821,89,289,20,261,2727,339,353,85,1155,53,106,1728,144,112,55,183,52,68,,10,72188
2005,4,A,53754,1688,3460,497,102,252,86,250,3169,292,371,148,986,66,78,1777,151,95,29,134,44,171,,11,67611
2005,5,A,42164,1356,3156,779,209,489,43,352,3152,354,625,97,525,59,90,1767,166,52,70,91,84,116,,9,55805
2005,6,A,45072,1050,4028,1110,200,401,29,406,3260,208,866,79,611,43,62,1481,202,108,51,138,40,173,,14,59632
2005,7,A,49974,1386,4870,1318,466,888,55,578,4608,205,809,70,953,225,166,2284,464,125,190,143,60,114,,8,69959
2005,8,A,40980,1153,11111,742,183,375,24,487,2868,286,1066,57,886,79,118,1277,327,405,67,213,82,100,,28,62914
2005,9,A,29755,1230,8411,625,213,374,47,378,2464,251,964,65,615,116,110,1259,242,77,51,641,61,87,,11,48047
2005,10,A,40631,1423,4002,662,244,550,27,454,3042,351,890,133,1219,91,135,2134,226,89,156,141,99,100,,6,56805
2005,11,A,40329,1337,2867,814,203,428,27,267,3263,341,332,139,1101,42,105,1395,158,98,85,208,47,70,,7,53663
2005,12,A,37414,2659,6757,1198,281,834,10,384,3526,154,249,86,998,62,99,1633,235,180,78,179,50,114,,30,57210
2005,1,N,407043,30113,22814,13985,2661,4504,233,2485,41978,2989,2761,1200,9164,571,929,8108,1955,2062,851,1278,242,1429,,199,559554
2005,2,N,369149,23406,17523,7537,1405,3928,225,1986,33058,2374,1515,858,12299,394,732,6726,1011,1026,824,1479,405,1251,,55,489166
2005,3,N,394589,21149,32435,8815,694,1748,87,2409,28947,3569,3765,738,10195,635,1443,8889,1102,888,801,1512,613,1113,,34,526170
2005,4,N,374924,14046,21105,9531,814,1674,669,2410,36794,3638,3638,1664,8793,700,1294,8722,1432,683,534,1550,534,2035,,40,497224
2005,5,N,284971,10665,20336,11122,1651,3219,337,3477,36940,3823,7490,949,4847,577,748,10594,1447,360,868,972,699,2088,,49,408229
2005,6,N,308930,8121,21384,15973,1746,2587,208,4222,42667,2007,10549,589,5896,246,430,7620,1994,755,576,1124,343,2393,,91,440451
2005,7,N,358478,11665,33804,16255,4578,6384,526,5921,69438,2627,10323,1006,10993,1572,2065,16923,5068,1451,1907,1530,614,2295,,49,565472
2005,8,N,285566,9067,91188,11145,1646,2534,112,4575,33506,3310,13636,457,8488,809,1404,8596,3167,3633,798,2284,899,1519,,116,488455
2005,9,N,211993,11229,57087,8081,1792,2486,395,3138,31550,3130,12226,758,6556,802,1767,6862,2578,569,542,4172,621,1108,,54,369496
2005,10,N,299661,12055,23831,7622,2014,3724,182,4134,33811,3708,10283,1697,11221,974,1596,12128,2182,610,1071,966,801,1688,,18,435977
2005,11,N,289901,12281,15121,10086,1561,2860,166,3000,40486,3758,3415,1466,10573,453,989,7243,1612,1046,608,1546,594,1151,,19,409935
2005,12,N,300699,27245,54911,16985,2088,5696,61,4795,51840,2202,2474,1311,10848,906,868,10672,2377,2335,1367,2049,515,2016,,112,504372
2006,1,A,40368,3258,3519,897,280,611,19,283,2832,211,274,74,1002,46,269,1020,246,127,27,66,60,73,,28,55590
2006,2,A,41315,2557,3295,402,349,743,73,244,3231,187,180,58,956,47,146,1235,147,77,128,130,137,69,,10,55716
2006,3,A,46289,2793,2157,410,175,379,105,203,2995,238,222,94,868,48,83,1474,169,110,31,77,50,54,,8,59032
2006,4,A,49445,1523,7069,975,164,409,47,365,3036,364,329,97,1005,56,116,1666,222,110,56,198,65,70,,19,67406
2006,5,A,39243,1216,2431,490,235,430,55,350,2862,359,1132,82,657,129,149,1546,274,57,73,137,56,69,,18,52050
2006,6,A,40145,1055,3068,2155,264,333,51,317,2702,276,809,77,732,105,113,1517,205,64,47,80,59,205,,11,54390
2006,7,A,44448,1491,4803,1356,620,609,71,486,3926,191,984,66,968,56,251,2457,190,143,194,82,58,145,,7,63602
2006,8,A,41502,1384,9495,940,300,257,26,335,2588,283,1043,55,847,88,186,1708,134,524,62,179,248,122,,18,62324
2006,9,A,29677,1141,8348,735,331,696,57,357,2725,275,955,106,710,120,122,1219,134,76,59,253,147,217,,10,48470
2006,10,A,38232,1431,3560,897,347,609,31,350,3533,273,885,108,1359,72,92,2552,141,64,95,123,89,178,,27,55048
2006,11,A,42659,1333,2586,743,296,477,38,304,3314,361,332,100,1004,41,66,1653,189,64,72,106,148,107,,18,56011
2006,12,A,42808,3408,6774,1598,165,1114,19,468,3386,253,361,91,1326,65,75,1877,204,228,81,195,73,139,,25,64733
2006,1,N,341337,31630,29477,10884,3296,4159,106,3260,38629,3143,2744,834,2178,468,6017,8077,11220,1665,402,458,644,1298,,136,502062
2006,2,N,327406,23826,21472,6859,3290,4941,639,2255,41554,2033,1737,691,8945,585,1568,7348,1599,721,967,1207,1111,1176,,58,461988
2006,3,N,332632,23487,14357,3515,1260,1954,136,2767,35558,2935,2325,1309,9031,388,764,6901,1284,1108,328,729,618,804,,28,444218
2006,4,N,348351,12905,44326,11500,1519,2436,404,3355,36370,3974,3334,1078,9415,667,1864,9164,1659,960,399,2181,577,414,,105,496957
2006,5,N,262054,9711,17214,7697,1929,2758,501,3972,35574,3910,13778,808,6062,798,1342,8635,2192,455,790,1342,441,819,,68,382850
2006,6,N,283894,8459,18288,15282,2423,2340,373,3417,38769,2757,10195,669,7744,905,667,8413,1658,573,434,800,432,4737,,52,413281
2006,7,N,326554,12977,37955,17094,6396,4671,549,5525,61175,2765,12640,860,11067,820,5017,18486,2570,1747,1765,1026,573,2684,,38,534954
2006,8,N,286285,11494,79046,10549,2812,1488,239,5259,32167,3585,13054,416,8566,994,2145,11771,1488,5409,824,2726,1279,3008,,65,484669
2006,9,N,210301,9415,58427,6759,2859,4241,483,3629,33255,3122,11778,1084,6837,734,892,6629,1452,742,578,2457,657,3357,,49,369737
2006,10,N,276424,11320,19054,9360,2616,3592,210,3966,39271,3015,10762,1326,12525,577,1019,12844,1043,569,707,1357,718,4357,,71,416703
2006,11,N,304376,11539,13708,6691,2489,3013,262,2699,39520,4489,3422,857,8878,334,490,7502,1080,851,467,1164,884,1529,,51,416295
2006,12,N,331024,33471,55202,16955,1692,6736,135,5197,49549,3494,3762,1223,13834,738,692,12366,1765,2361,774,3080,572,2090,,116,546828
2007,1,A,43013,2737,3151,1231,377,665,53,340,2973,196,330,79,1118,229,75,1191,277,232,81,92,91,456,,6,58993
2007,2,A,43767,3015,3586,794,274,844,43,237,3443,154,220,42,1167,56,64,1277,177,77,45,119,96,64,,8,59569
2007,3,A,51023,3441,4409,939,188,444,37,331,3127,312,280,70,988,61,86,1583,251,156,59,101,70,203,,15,68174
2007,4,A,48594,1572,6829,1015,231,468,75,368,2982,269,254,71,911,66,69,2582,213,123,52,283,80,627,,38,67772
2007,5,A,37861,1346,3048,763,272,449,51,284,2891,191,1222,62,681,112,88,1572,207,74,101,113,77,220,,8,51693
2007,6,A,43986,1061,3538,1599,232,509,54,451,2466,189,1113,27,956,57,69,2049,153,92,56,113,105,145,,8,59028
2007,7,A,45528,1604,5687,1486,652,969,169,435,3637,166,1671,71,1333,96,184,2977,200,135,275,112,155,106,,11,67659
2007,8,A,45556,1451,13859,1190,298,355,55,331,2866,257,1673,34,1170,83,254,1769,176,524,41,222,245,119,,9,72537
2007,9,A,34556,1538,11296,624,384,603,172,357,3067,294,1460,50,949,131,117,1568,194,84,48,299,72,84,,8,57955
2007,10,A,40601,1549,8414,956,316,553,87,386,3589,196,913,61,2074,126,124,2204,173,141,85,128,81,90,,21,62868
2007,11,A,44738,1771,10523,966,262,666,134,328,3620,479,320,97,1224,66,77,1950,189,104,36,147,76,70,,8,67851
2007,12,A,44088,4585,17819,1651,117,956,50,394,3185,438,169,92,1326,66,81,1730,335,281,61,138,50,103,,8,77723
2007,1,N,352603,25894,17549,11198,3893,3971,433,4753,41974,2124,2779,965,10416,1071,864,7951,1373,2261,421,1081,462,21900,,9,515945
2007,2,N,342976,26831,19886,5728,2192,4275,406,2497,43143,1791,2148,460,11071,518,949,7106,1195,824,394,1305,700,1056,,19,477470
2007,3,N,367553,29311,29385,9370,1409,2276,221,2724,35802,3148,2824,840,8379,435,780,7776,1394,1504,471,929,839,2907,,59,510336
2007,4,N,334965,13015,35234,8470,1967,2985,504,4694,34766,2919,2454,1040,8152,435,455,13886,1835,1088,359,2359,736,29433,,195,501946
2007,5,N,259193,10851,16318,4787,2275,2702,327,3658,34913,2165,15863,658,6312,893,585,8642,1820,594,873,851,749,2207,,28,377264
2007,6,N,311269,8404,18540,12641,1936,3544,463,4133,32143,1996,14542,335,7353,371,484,11740,1111,781,456,1123,630,1783,,22,435800
2007,7,N,330171,13862,34024,13345,6042,6742,1025,4470,57796,1961,22212,759,12739,986,1770,20705,2164,1221,2225,1498,989,1102,,35,537843
2007,8,N,315763,12269,102888,9837,2522,2366,345,4128,36752,2877,22036,729,10339,741,2202,9978,1452,5015,465,2800,1478,1872,,29,548883
2007,9,N,242115,13037,70311,6626,3360,3628,1232,3213,37672,3142,18391,419,9197,886,989,7323,1628,630,560,2859,679,729,,27,428653
2007,10,N,293248,12936,35485,8646,2505,3184,589,4115,40020,2742,10525,631,17349,834,886,11609,1203,1113,829,1290,757,707,,92,451295
2007,11,N,323582,16104,39778,8877,2097,4110,610,3733,47784,5010,3452,1448,11181,421,486,8289,1880,912,228,1648,517,581,,21,482749
2007,12,N,344961,43075,95970,21354,1092,7009,433,3858,45151,4422,1951,1472,13681,818,830,12771,3719,2996,1030,2746,601,1724,,40,611704
2008,1,A,48133,4197,7973,1498,427,1090,87,158,3376,763,254,95,1039,49,111,1187,338,190,29,126,45,89,,8,71262
2008,2,A,51340,4865,6380,433,303,1147,137,213,3415,880,139,57,1222,58,47,1332,512,157,74,141,82,61,,11,73006
2008,3,A,56284,4868,9314,1116,245,336,77,206,2761,811,180,47,1491,251,180,1846,569,137,52,239,96,75,,24,81205
2008,4,A,52282,2152,5516,662,275,588,211,191,3734,346,170,45,895,54,72,1850,357,103,78,101,94,93,,20,69889
2008,5,A,44888,1650,5788,947,402,621,140,272,3569,306,1035,75,823,75,83,1681,707,93,154,121,102,58,,20,63610
2008,6,A,44153,1558,5597,1472,320,520,130,245,2897,146,1091,54,762,60,93,1480,425,100,37,100,63,59,,8,61370
2008,7,A,47295,1600,6493,1390,529,1059,257,316,4512,206,1262,91,780,118,115,2969,492,135,248,143,614,78,,10,70712
2008,8,A,45497,1905,16033,1010,433,494,99,491,3325,285,1479,44,1030,62,133,1892,382,639,85,287,913,81,,14,76613
2008,9,A,30618,1606,10913,786,418,801,284,315,3251,392,1880,63,854,79,107,1429,300,152,109,467,48,86,,10,54968
2008,10,A,36613,1577,7728,1191,305,643,66,260,4230,283,856,58,1239,55,81,2862,256,111,76,266,69,50,,9,58884
2008,11,A,41984,2471,10197,985,353,685,162,303,3498,427,377,113,1100,107,83,1573,206,896,133,124,114,82,,7,65980
2008,12,A,40947,4079,20967,1839,185,755,46,368,3286,281,501,83,1621,97,67,1640,259,1171,91,255,58,75,,16,78687
2008,1,N,397966,39233,43982,13406,4170,6980,788,3770,47234,5751,2343,1507,10699,402,1074,8135,1559,1844,326,1265,455,2457,,27,595373
2008,2,N,402584,41734,43551,4873,2724,6191,1115,2316,40373,3391,1403,619,10411,678,240,7556,3154,1394,1200,1468,701,1253,,68,578997
2008,3,N,403619,39642,54705,11706,1790,2019,513,2681,33174,4817,1234,532,11741,1773,1867,11115,3927,1315,510,2314,711,689,,108,592502
2008,4,N,360697,17635,31906,5825,2170,3690,1191,2220,43157,3111,1442,533,7700,543,415,9662,2619,898,759,953,665,719,,99,498609
2008,5,N,311894,12739,29460,8552,3008,3985,996,2826,41341,3336,12814,665,7245,466,616,10062,6639,701,1316,1843,732,492,,72,461800
2008,6,N,309568,11730,29613,13873,2456,3589,813,2514,38407,1799,13735,471,8580,692,709,9755,4544,1112,411,1145,599,662,,36,456813
2008,7,N,342109,13315,40281,14461,5269,7680,2047,4388,63674,2481,15357,901,8740,1517,1252,20510,4758,1360,2242,1592,3108,955,,35,558032
2008,8,N,317716,15489,126789,11354,3443,3252,644,4677,39927,3485,18710,428,10102,686,1308,9881,2303,6598,869,3406,4266,881,,51,586265
2008,9,N,218568,14073,68632,7831,3640,5109,2005,3688,38198,4378,24780,797,8782,738,924,6927,1398,1350,807,3819,447,611,,46,417548
2008,10,N,272213,13064,33442,8585,2455,3978,411,2999,48211,3429,10128,675,12106,436,518,13031,3142,880,644,1778,542,637,,49,433353
2008,11,N,310321,21636,38026,6878,2784,4266,922,2120,39822,5350,4102,1150,9578,639,430,7816,10942,6566,1125,1169,700,929,,30,477301
2008,12,N,318470,39317,109767,22008,1854,5467,424,2383,44305,3738,5161,997,13995,1148,519,11434,12198,9392,1174,2589,537,1138,,81,608096
2009,1,A,45669,4593,8049,1315,610,584,124,267,3288,276,379,70,1025,30,39,962,186,1387,36,101,41,48,,3,69082
2009,2,A,46362,4560,5089,568,388,778,98,401,3729,194,385,41,825,98,60,1563,233,1101,70,193,82,98,,11,66927
2009,3,A,48874,4804,4051,808,237,397,45,474,3222,245,317,57,653,81,56,1367,140,1096,67,153,92,52,,12,67300
2009,4,A,49826,2004,7535,1144,323,394,114,421,3403,388,196,65,953,349,124,2175,193,1178,51,485,73,66,,8,71468
2009,5,A,43423,1370,5439,1016,386,549,151,401,2894,279,1838,53,645,85,87,1725,216,93,81,292,102,53,,34,61212
2009,6,A,42985,1303,7375,2078,387,618,73,327,2639,259,1667,33,826,58,49,1397,101,82,51,480,100,80,,6,62974
2009,7,A,47849,2320,7513,1532,863,1626,220,394,4614,236,2200,98,983,140,98,3221,168,166,320,261,83,55,,19,74979
2009,8,A,46069,2290,13868,1286,480,692,97,367,3623,273,1762,35,875,88,110,1736,177,557,50,303,123,54,,11,74926
2009,9,A,31396,1389,11283,692,551,1007,166,310,3233,273,1508,57,755,57,45,1084,168,193,69,549,110,42,,14,54951
2009,10,A,39466,1673,9116,1535,487,1047,74,377,3507,323,759,77,1010,39,73,2714,153,99,118,248,102,43,,6,63046
2009,11,A,42793,3151,10534,1193,540,1159,127,429,3207,350,217,111,1516,51,69,1466,163,125,48,205,91,52,,5,67602
2009,12,A,43106,4309,14854,2062,230,1732,54,452,3441,252,264,109,1599,69,54,1918,240,276,103,308,67,111,,29,75639
2009,1,N,396241,42844,40214,9505,5687,3926,666,1685,45156,3815,3899,798,10105,308,474,6415,1747,12225,536,1211,384,613,,8,588462
2009,2,N,361379,39771,25665,5235,3335,4992,783,2269,50305,2336,4083,527,8802,931,476,9318,1292,8863,794,1826,907,980,,104,534973
2009,3,N,350151,39871,19203,5782,1791,2341,311,1918,37516,2722,3197,704,5575,797,445,6839,848,7866,640,1234,876,659,,31,491317
2009,4,N,344313,16246,43877,7652,2465,2551,701,2057,41157,4228,2228,773,9128,2449,961,10634,1416,8775,462,3878,621,844,,60,507476
2009,5,N,302889,11510,25012,6410,3276,3682,945,2227,35621,2817,23096,440,5565,689,581,8477,1720,745,648,2582,688,552,,171,440343
2009,6,N,302771,10997,33040,16536,3549,4273,545,2274,33829,2887,21536,287,8255,714,350,7303,829,650,545,3893,728,629,,14,456434
2009,7,N,345400,19944,44382,12851,8065,11097,1605,2825,66321,2878,29256,1107,10602,1323,732,20426,1685,1627,3089,2492,953,769,,88,589517
2009,8,N,326168,18955,112988,9601,3757,4337,738,2258,43282,3236,22886,392,8900,1437,917,8404,1603,5641,453,3683,969,641,,59,581305
2009,9,N,221091,11896,74078,5660,4312,6199,1279,1820,36767,3287,21691,604,7304,438,269,5475,1515,1506,821,4351,962,515,,60,411900
2009,10,N,292410,14384,43469,11058,3632,6377,537,2314,40829,3709,8801,798,10375,363,653,12005,1264,881,1256,1844,1008,531,,46,458544
2009,11,N,311123,26398,46007,8972,3911,6873,765,2464,37535,4477,2424,1191,17730,611,279,6306,1173,1177,438,1796,1207,521,,14,483392
2009,12,N,334929,42361,104095,29481,2292,11291,466,3805,47344,3131,2247,1176,19519,1019,739,11745,2557,2937,1666,3324,933,2109,,84,629250
2010,1,A,47522,5682,5263,1260,868,2246,59,264,3155,306,204,93,1989,51,43,1159,278,321,49,122,57,74,,35,71100
2010,2,A,48309,4507,4108,460,551,1822,85,265,3220,236,174,49,1451,31,41,1283,189,284,50,214,90,82,,9,67510
2010,3,A,54408,4432,6989,1109,450,998,78,371,3196,512,210,70,1426,78,53,1533,205,370,99,317,73,92,,6,77075
2010,4,A,51188,2704,5014,787,418,1050,97,296,2916,182,264,77,812,56,65,2044,187,82,38,377,314,46,,7,69021
2010,5,A,44892,2681,3937,811,468,1207,165,376,3593,290,2317,50,524,67,67,1936,188,90,97,231,63,51,,12,64113
2010,6,A,41722,1914,4879,1757,346,1187,139,353,2440,195,2050,53,600,80,77,1621,159,117,46,174,39,87,,8,60043
2010,7,A,47461,2806,6234,1878,903,2131,245,437,4091,217,2680,84,806,62,112,3535,198,227,416,220,177,107,,18,75045
2010,8,A,41969,2382,14051,1115,531,1177,200,332,3380,264,2220,55,820,128,205,1753,166,479,147,368,1053,62,,10,72867
2010,9,A,32428,1149,10839,940,458,2043,253,338,3034,372,2121,80,755,150,84,1769,209,211,86,649,90,58,,7,58123
2010,10,A,42070,1592,7366,1344,513,2299,288,243,3744,356,1802,118,1261,133,97,2467,167,111,180,284,287,75,,8,66805
2010,11,A,41009,2740,6649,1084,521,1753,148,362,3477,409,201,113,1547,64,61,1966,251,149,63,309,168,82,,3,63129
2010,12,A,42543,5009,15034,2198,329,2309,82,513,3540,214,259,82,1832,98,45,2162,284,409,64,246,64,153,,29,77498
2010,1,N,409255,52054,33805,11852,7415,14497,452,2435,43472,3795,1735,817,23938,734,215,5838,1788,2640,754,1197,913,948,0,89,620638
2010,2,N,372565,40244,27049,6629,4495,10832,701,1628,40838,2252,1826,463,16975,282,185,6766,1314,2195,1048,2230,1596,1950,0,35,544098
2010,3,N,384374,37587,46784,8749,2915,5557,580,2703,36429,3188,2153,643,16073,895,233,7584,1731,3093,886,2654,1282,1526,,16,567635
2010,4,N,354759,21108,28593,6675,3362,6188,590,2266,36367,2107,2900,774,7764,550,367,9593,1522,764,692,2613,1642,833,,50,492079
2010,5,N,314019,20777,23747,6014,4061,7514,1251,2773,41879,3583,34410,497,5579,583,513,10077,1796,943,814,2202,871,468,,30,484401
2010,6,N,294586,15200,29910,16861,2815,7463,1016,2335,31339,2468,25711,452,6720,626,459,8676,1668,1016,416,1331,404,1399,,31,452902
2010,7,N,350623,23754,52264,18322,8856,14255,2192,3532,58307,2567,33908,931,9018,1382,1126,21034,1758,2556,3965,2110,1586,2093,,65,616204
2010,8,N,296112,19147,127625,9052,4309,7482,1259,3104,40818,2914,28489,536,8354,1636,1391,8513,1350,4764,1156,3625,4984,1151,,40,577811
2010,9,N,227049,9588,81612,7782,3849,11340,1927,2704,35970,3513,27089,720,7318,1551,755,7745,1480,1658,717,4269,686,995,,21,440338
2010,10,N,313887,13767,60898,10375,3839,14868,1949,1512,42312,3876,21321,879,12923,1150,689,12349,1233,1076,1626,2227,1889,1340,,28,526013
2010,11,N,301541,23823,45596,9771,4272,10785,972,2441,40313,4976,1880,1404,18052,943,405,8786,1472,1149,783,2411,1515,1155,,5,484450
2010,12,N,333816,48312,112779,33061,3103,16512,641,5281,46882,2539,2470,918,22604,1566,545,13073,2462,3826,1376,2426,654,4650,,152,659648
2011,1,A,47948,5717,6676,1638,1179,2274,198,330,3248,206,214,100,2072,82,54,1207,263,725,44,179,153,42,0,5,74554
2011,2,A,46785,5844,4505,619,857,1290,292,315,3416,193,233,76,1750,58,56,1064,207,637,69,257,71,78,0,7,68679
2011,3,A,50839,6540,6316,841,507,2236,119,323,3232,261,192,68,1445,96,74,2350,295,421,68,214,335,75,0,15,76862
2011,4,A,51875,2977,11934,1654,404,1334,104,362,3442,361,287,111,1072,71,73,1811,237,562,118,416,203,81,,6,79495
2011,5,A,43857,2637,5090,968,796,1422,325,543,3003,223,2178,70,633,111,79,1748,206,312,92,294,403,102,,14,65106
2011,6,A,43581,1380,7175,2426,588,1509,232,706,2958,311,1926,85,860,168,122,2618,233,387,117,327,65,96,,19,67889
2011,7,A,50527,2037,8116,1694,1059,2773,289,337,4197,272,2132,110,1045,155,252,3695,225,626,344,244,587,146,,13,80875
2011,8,A,41773,1612,18604,1054,1074,1240,180,402,3457,356,2735,72,971,126,272,2140,281,1286,192,491,869,109,,9,79305
2011,9,A,31408,1454,15255,1072,1130,2375,232,384,2873,307,2082,77,801,84,82,2252,255,395,50,787,126,101,,5,63587
2011,10,A,38593,1873,8267,1392,1058,2196,257,364,3828,342,1371,116,1400,116,77,2424,235,230,115,309,285,104,,9,64961
2011,11,A,40715,3097,8911,1107,1042,1509,116,372,3233,404,236,119,1840,72,69,2224,230,465,49,391,266,80,,5,66552
2011,12,A,43229,5319,16989,2238,632,2255,87,635,3181,257,284,84,1952,121,58,2240,334,468,119,311,157,147,,11,81108
2011,1,N,414864,53964,43007,15476,11362,15114,1574,1997,44278,2087,1811,955,25563,823,318,5505,1797,6562,771,1659,1194,1095,,15,651791
2011,2,N,366485,50709,31262,8127,7328,8007,2149,1594,40350,1748,1814,774,18536,962,387,5097,2164,4938,1037,2340,1181,2145,,20,559154
2011,3,N,367409,53135,37017,7707,3994,12632,858,1688,35720,2744,1912,508,15984,1301,664,10308,3044,3454,718,1946,1913,1829,,34,566519
2011,4,N,355772,23216,74884,12589,3238,7553,669,2172,36494,3913,2698,1190,9622,1495,568,8140,2665,4511,1047,3683,1285,2085,,30,559519
2011,5,N,297930,19889,33108,10177,6660,8840,1711,3884,33117,2268,26076,502,6172,1604,572,8521,1835,2830,700,2535,2322,2101,,52,473406
2011,6,N,305798,11087,40209,20698,4855,9601,1674,4026,37744,3154,22215,631,9555,1979,811,12296,2824,3482,934,2297,484,2955,,90,499399
2011,7,N,368496,17187,55840,17516,9825,18789,2366,2654,55461,2970,25710,995,11493,3041,1397,20586,3091,6083,2705,2232,3053,4100,,40,635630
2011,8,N,298710,12946,141963,9592,8742,7567,1296,2525,38469,4096,33644,549,9789,1680,1265,11507,3335,11562,1077,5111,4183,2189,,73,611870
2011,9,N,221493,11531,98148,9333,9142,14188,1694,2704,31394,3270,25386,715,7440,1607,770,9842,3299,2819,732,5772,1133,2362,,16,464790
